"","t","POL","IMP","n","resp","income","comp","compc","compr","share","sharepop","yp"
"1200",3,"bau","kalkuhl","kgz","share90","low-middle",-0.107694201533968,-15.1255901030855,-0.00269565400880425,0.000295940833117717,0.000873911293094137,5611.10218658772
"1201",3,"bau","kalkuhl","khm","share15","low-middle",0.32644516601967,18.8805764036825,0.00334490979827472,0.000234359799314826,0.00212218065415697,5644.56967222882
"1202",3,"bau","kalkuhl","khm","share50","low-middle",0.3840544113348,22.2125165607172,0.00393520106058791,9.51221608827998e-05,0.00212218065415697,5644.56967222882
"1203",3,"bau","kalkuhl","khm","share90","low-middle",0.358714543443913,20.7469371569643,0.00367555692669344,0.00015636690283362,0.00212218065415697,5644.56967222882
"1204",3,"bau","kalkuhl","kor","share15","high",-2.59747531377849,-50.4658114198268,-0.000968291090740591,0.0185838790473614,0.00631744582240944,52118.4299870284
"1205",3,"bau","kalkuhl","kor","share50","high",0.189870471527929,3.68895417773322,7.07802245511108e-05,0.0118470533431441,0.00631744582240944,52118.4299870284
"1206",3,"bau","kalkuhl","kor","share90","high",-2.30964223865078,-44.8735620487815,-0.000860992206786543,0.0178882060277934,0.00631744582240944,52118.4299870284
"1207",3,"bau","kalkuhl","kwt","share15","high",-0.0704225864418255,-16.0415914446072,-0.000318888598904084,0.00325057493118405,0.000538830137174615,50304.6879058608
"1208",3,"bau","kalkuhl","kwt","share50","high",0.357614136402537,81.4610789071839,0.00161935362882339,0.00221603920475646,0.000538830137174615,50304.6879058608
"1209",3,"bau","kalkuhl","kwt","share90","high",-0.0389997587095451,-8.88377191561392,-0.000176599284985901,0.00317462808788891,0.000538830137174615,50304.6879058608
"1210",3,"bau","kalkuhl","lbn","share15","low-middle",0.00552248035638118,1.08283928556494,7.8958948496465e-05,0.000559821238148363,0.000625975785783722,13713.9527081394
"1211",3,"bau","kalkuhl","lbn","share50","low-middle",0.0203912876131482,3.99829168885259,0.000291549181621397,0.000523884339523699,0.000625975785783722,13713.9527081394
"1212",3,"bau","kalkuhl","lbn","share90","low-middle",-0.00894883641851271,-1.75467380755151,-0.000127948071930428,0.00059479742923915,0.000625975785783722,13713.9527081394
